reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.04238994,0.0107,0.406,0.758,28,11,702,12.195
-0.04237476,0.0069,0.481,0.999,28,19,654,14.353
-0.04233019,0.0065,0.071,0.982,24,781,859,13.556
-0.04232122,0.0128,0.416,0.733,29,8,659,14.148
-0.04230811,0.006,0.547,0.681,28,11,791,14.776
-0.0423057,0.0068,0.5,0.77,28,11,644,13.93
-0.04221386,0.0058,0.368,0.917,3,5,314,9.683
-0.04220774,0.0119,0.325,0.783,28,4,601,8.022
-0.04216426,0.012,0.393,0.851,24,19,608,13.293
-0.04209866,0.0069,0.397,0.92,25,11,756,13.878
-0.0420884,0.0082,0.237,0.912,22,14,648,13.602
-0.04201452,0.0056,0.195,0.612,26,2,177,11.937
-0.04199293,0.0071,0.498,0.818,23,4,753,11.9
-0.04193852,0.0074,0.19,0.94,4,11,734,12.935
-0.04190354,0.0133,0.53,0.997,8,66,257,14.242
-0.04189048,0.0052,0.184,0.87,4,33,513,14.974
-0.0418278,0.0139,0.462,0.984,28,11,568,13.213
-0.0418201,0.0093,0.289,0.819,24,16,646,13.776
-0.04180306,0.0083,0.579,0.941,24,69,723,13.244
-0.04177615,0.0133,0.527,0.988,26,24,653,14.927
-0.04176201,0.004,0.37,0.938,23,7,742,14.285
-0.04165201,0.006,0.5,0.93,30,16,607,14.902
-0.04157432,0.0097,0.248,0.745,24,65,827,10.369
-0.04150367,0.007,0.631,0.914,29,13,594,12.737
-0.04140946,0.0097,0.52,0.769,28,11,503,14.736
-0.04140066,0.0128,0.457,0.726,29,8,671,14.14
-0.04133878,0.0131,0.316,0.908,3,68,711,14.393
-0.04120588,0.0069,0.534,0.941,26,8,608,13.169
-0.04118263,0.0038,0.336,0.704,26,6,901,13.559
-0.04111383,0.0085,0.604,0.931,30,34,803,13.945
-0.04094963,0.0138,0.448,0.956,28,19,910,14.119
-0.04094761,0.0076,0.578,0.963,26,10,830,13.427
-0.04094366,0.0141,0.331,0.86,24,9,447,13.408
-0.04093144,0.0089,0.477,0.907,22,6,606,12.221
-0.0408929,0.0116,0.427,0.963,20,12,877,14.997
-0.04088736,0.0056,0.669,0.994,29,29,785,14.87
-0.04087922,0.0111,0.489,0.822,30,10,743,12.36
